"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","សាលារៀនតាទយ","10","0","6","251","","1","7","41","47","0","2","365","4","369"
"0002","សាលារៀនដូនស្វា","16","8","16","233","","0","5","66","34","2","9","389","6","395"
"0003","សាលារៀនដូនស្វា","13","4","8","243","","0","3","97","52","2","21","443","7","450"
"0004","អនុវិទ្យាល័យអង្គរជ","13","2","10","336","","3","3","18","13","0","5","403","3","406"
"0005","សាលារៀនខ្លុង","15","1","17","380","","4","5","48","11","1","2","484","1","485"
"0006","សាលារៀនខ្លុង","14","0","67","178","","1","8","140","59","3","12","482","3","485"
"0819","សាលារៀនខ្លុង","1","0","7","26","","1","0","15","17","1","0","68","2","70"
"0007","សាលារៀនចាររកា","3","2","6","169","","0","4","22","24","1","0","231","3","234"
"0008","សាលារៀនចាររកា","11","3","4","185","","1","0","54","11","0","5","274","3","277"
"0009","សាលារៀនកត្រកៀត","16","7","6","247","","1","4","27","15","0","6","329","4","333"
"0641","សាលារៀនកត្រកៀត","10","2","4","140","","1","3","100","18","1","5","284","2","286"
"0820","សាលារៀនគោកយាង","16","2","3","98","","0","0","42","13","0","1","175","3","178"
"0010","សាលារៀនគោករាម","39","3","8","146","","1","4","161","30","4","5","401","7","408"
"0011","សាលារៀនបេង","7","6","22","420","","1","4","64","37","0","2","563","3","566"
"0012","សាលារៀនរកា","28","5","4","250","","3","2","99","36","0","5","432","5","437"
"0821","សាលារៀនរកា","12","1","3","80","","2","0","41","10","0","4","153","8","161"
"0013","សាលារៀនរំដួលថ","12","5","8","179","","2","3","109","45","1","12","376","5","381"
"0822","សាលារៀនរំដួលថ","2","0","2","110","","0","1","87","8","0","1","211","4","215"
"0014","វត្ដបត","7","4","4","334","","0","6","133","54","0","4","546","1","547"
"0823","សាលារៀនរកា","40","3","2","206","","2","1","32","6","3","7","302","2","304"
"0015","វត្ដខ្ចារ","30","8","13","194","","1","8","37","28","8","61","388","7","395"
"0016","វត្ដដំណាក","22","5","16","133","","3","5","30","59","8","78","359","12","371"
"0017","សាលាសំណាក","65","8","8","101","","3","8","19","20","5","89","326","17","343"
"0642","សាលារៀនគោកព្នៅ","47","17","64","195","","7","14","25","79","8","64","520","17","537"
"0018","សាលារៀនប្រាសាទត្រាវ","24","12","6","183","","6","13","144","75","6","17","486","14","500"
"0019","ភូមិអន្ទឹតសុខ","34","6","9","228","","4","10","38","26","2","49","406","22","428"
"0020","ភូមិគោកត្របែក","28","4","12","193","","7","1","7","38","0","23","313","12","325"
"0021","ភូមិគោកក្រោល","35","9","10","154","","1","1","45","17","3","18","293","12","305"
"0022","សាលារៀនកប្ដៀក","22","7","6","210","","5","4","125","19","4","3","405","10","415"
"0023","សាលារៀនគោកស្នួល","22","5","1","182","","3","5","143","8","2","13","384","3","387"
"0024","សាលារៀនគោកដូង","28","6","16","253","","3","7","56","21","5","63","458","14","472"
"0025","ភូមិកំប្លើប","46","7","12","76","","3","5","115","33","10","51","358","45","403"
"0026","ភូមិអំពលធ្នង","14","2","6","210","","8","6","81","49","2","1","379","7","386"
"0027","វត្ដគោល","25","0","5","129","","0","5","112","32","0","3","311","6","317"
"0028","វត្ដគោល","6","1","14","182","","1","2","19","9","1","4","239","9","248"
"0029","ភូមិខាន់ស","10","6","16","205","","0","3","87","45","1","2","375","10","385"
"0030","សាលារៀនល្បើក","10","5","3","334","","1","2","18","24","2","14","413","3","416"
"0031","ភូមិសំបួរ","16","3","17","273","","2","3","43","31","1","4","393","9","402"
"0032","ភូមិទំពូង","16","2","2","157","","1","2","82","68","2","5","337","4","341"
"0033","វត្ដនគរភាស","15","0","6","298","","2","2","94","25","1","21","464","3","467"
"0034","សាលារៀននគរភាស","11","7","10","185","","2","4","81","75","1","13","389","11","400"
"0035","ភូមិទន្លេស","4","3","4","342","","0","4","58","4","1","5","425","4","429"
"0036","ភូមិគោកថ","113","5","12","95","","1","6","110","29","3","9","383","7","390"
"0037","សាលាឆទានភូមិពង្រ","20","6","12","263","","1","3","77","43","2","6","433","9","442"
"0038","សាលារៀនរល","14","6","7","328","","3","10","65","26","3","5","467","10","477"
"0701","សាលារៀនរាជជន្ទល","28","4","21","298","","5","5","97","50","5","20","533","19","552"
"0039","វត្ដចេកក្អូវ","21","7","6","229","","5","10","134","46","3","2","463","21","484"
"0824","សាលាឆទានភូមិគោកចាស","10","5","9","101","","1","2","46","13","3","14","204","8","212"
"0040","សាលារៀនរវៀងថ","6","6","4","130","","1","3","92","69","3","53","367","1","368"
"0041","សាលារៀនជំនុរាជ្យ","18","3","8","60","","4","8","16","51","5","20","193","14","207"
"0825","សាលារៀនគោកត្រប","19","8","4","88","","4","9","56","41","1","15","245","8","253"
"0042","សាលារៀនស្រែខ្វាវ","45","10","8","299","","2","6","101","43","1","6","521","10","531"
"0043","សាលារៀនប្រាសាទធ្នង","16","4","5","202","","7","3","109","129","4","8","487","6","493"
"0044","សាលារៀនតាសោម","9","1","11","424","","0","2","46","6","1","2","502","6","508"
"0045","វត្ដស្វាយជ","6","4","2","360","","1","2","29","42","1","5","452","2","454"
"0046","សាលារៀន ភូមិតាលាវ","2","0","5","347","","2","1","36","11","0","2","406","3","409"
"0047","សាលារៀនទំពូង","66","4","4","194","","1","5","10","25","1","2","312","3","315"
"0048","សាលារៀនទំពូង","26","5","4","156","","0","3","46","13","2","0","255","7","262"
"0049","សាលារៀនប្រាសាទធ្នង","13","1","7","299","","2","4","91","70","1","7","495","5","500"
"0050","សាលារៀនភូមិថ្នល","19","2","0","159","","1","0","16","40","0","1","238","2","240"
"0051","សាលារៀនគោកចាន","9","3","19","335","","1","4","69","17","1","10","468","6","474"
"0052","សាលារៀនប្រាំដំឡឹង","12","2","4","303","","2","2","51","21","2","5","404","2","406"
"0053","សាលារៀនភូមិជប","74","15","21","199","","2","9","60","51","8","68","507","16","523"
"0708","សាលារៀនភូមិជប","18","1","8","96","","0","1","15","23","1","19","182","8","190"
"0054","សាលារៀនទ័ពស្វាយ","25","9","16","256","","5","6","14","68","5","106","510","4","514"
"0709","សាលារៀនទ័ពស្វាយ","8","1","1","104","","0","1","5","45","0","45","210","4","214"
"0055","សាលារៀនបំពេញរាជ្យ","55","10","21","265","","1","16","49","53","8","28","506","16","522"
"0710","សាលាឆទានភូមិត្រពាំងស្វាយ","31","6","14","225","","5","2","64","65","3","31","446","12","458"
"0056","សាលារៀនលាងដៃ","35","5","22","174","","1","3","47","65","3","106","461","5","466"
"0057","សាលារៀនតាប្រុក","30","4","45","177","","1","8","22","132","1","35","455","3","458"
"0643","សាលារៀនដូនឪ","58","5","19","185","","1","4","57","69","4","39","441","8","449"
"0058","សាលាឆទានភ្លង","55","3","13","169","","3","3","160","51","4","26","487","5","492"
"0059","សាលាឆទានសំរោង","84","7","33","216","","5","7","43","38","7","18","458","13","471"
"0644","សាលារៀនសំរោង","88","4","19","175","","1","2","33","67","5","26","420","5","425"
"0060","ដើមពោធិ៍ភូមិពាក់ស្នែង","38","7","25","264","","5","8","49","43","3","48","490","15","505"
"0702","សាលាបឋមសិក្សាពាក់ស្នែង","24","1","23","244","","3","3","40","47","2","65","452","10","462"
"0061","វត្ដខ្នាចត្រាច","46","6","41","212","","2","4","113","51","6","52","533","8","541"
"0062","គោកចាស","85","7","26","231","","5","8","78","35","4","34","513","9","522"
"0063","សាលារៀនស្វាយចេក","32","3","11","360","","2","8","52","46","1","24","539","4","543"
"0715","សាលារៀនស្វាយចេក","14","1","6","162","","2","0","19","12","1","20","237","6","243"
"0064","ភូមិបុស្សតាត្រាវ","30","3","16","202","","2","6","88","24","4","19","394","3","397"
"0645","សាលារៀនតាត្រាវ","38","6","20","242","","2","2","105","41","2","42","500","0","500"
"0065","វត្ដស្លាតមានជ័យ","15","1","8","484","","6","1","20","8","0","7","550","4","554"
"0646","ភូមិគោកកក","31","2","9","300","","0","1","29","13","1","2","388","3","391"
"0066","សាលារៀនភូមិខ្នារ","5","2","6","207","","0","5","4","33","1","10","273","7","280"
"0865","សាលារៀនភូមិខ្នារ","7","4","7","208","","0","3","4","38","2","15","288","15","303"
"0067","វត្ដប្រីយ","26","0","12","305","","1","2","17","86","6","44","499","13","512"
"0068","វត្ដប្រីយ","27","7","14","261","","2","8","21","84","4","35","463","16","479"
"0069","សាលារៀនភូមិបន្ទាយស្រ","26","0","0","253","","0","0","30","59","0","32","400","30","430"
"0703","សាលារៀនភូមិបន្ទាយស្រ","16","0","0","197","","0","0","26","43","0","27","309","26","335"
"0070","វត្ដបន្ទាយស្រ","19","0","0","273","","0","0","16","42","0","20","370","32","402"
"0716","សាលារៀនបន្ទាយស្រ","25","0","0","138","","0","0","21","49","0","22","255","17","272"
"0866","សាលារៀនបន្ទាយស្រ","10","0","0","161","","0","0","14","42","0","21","248","12","260"
"0741","សាលារៀនឃុនរាម","23","2","12","240","","2","3","37","55","1","21","396","8","404"
"0071","សាលារៀនឃុនរាម","46","5","18","219","","4","4","43","56","9","37","441","13","454"
"0072","សាលារៀនកំព្រហ","27","5","8","169","","2","5","67","100","4","32","419","9","428"
"0717","សាលារៀនកំព្រហ","10","4","8","298","","2","4","22","46","1","25","420","6","426"
"0073","សាលារៀនកំព្រហ","13","2","10","106","","1","0","23","54","1","30","240","18","258"
"0074","វត្ដព្រះដាក","23","5","6","155","","0","2","78","47","0","6","322","2","324"
"0075","សាលារៀនបន្ទាយសំរែ","49","2","10","341","","3","17","19","90","11","37","579","17","596"
"0076","ភូមិថ្នល់បណ្ដោយ","15","2","10","274","","3","7","13","62","2","10","398","6","404"
"0077","ភូមិថ្នល់ទទឹង","27","1","7","328","","2","2","16","52","2","15","452","10","462"
"0078","អនុវិទ្យាល័យបន្ទាយស្រ","19","3","32","354","","2","1","60","87","2","33","593","8","601"
"0079","បឋមសិក្សា ព្រះដាក","33","11","16","308","","3","7","11","87","2","23","501","3","504"
"0742","បឋមសិក្សា ព្រះដាក","26","2","9","241","","0","2","12","83","2","16","393","8","401"
"0080","សាលារៀនតាទ","32","4","7","215","","2","3","98","28","1","10","400","3","403"
"0081","សាលារៀនធ្លក","46","3","15","353","","3","0","26","58","2","45","551","10","561"
"0647","សាលារៀនធ្លក","28","2","12","225","","1","1","20","65","2","38","394","3","397"
"0082","សាលារៀនតាឯក","31","2","16","178","","3","6","20","41","8","38","343","9","352"
"0743","សាលារៀនជ័យ","48","5","19","267","","0","4","12","39","2","20","416","8","424"
"0083","សាលារៀនត្ម ាតពង","38","3","16","268","","7","7","26","28","2","11","406","12","418"
"0084","សាលារៀនវត្ដរុន","38","6","15","281","","2","5","25","36","2","40","450","8","458"
"0744","សាលារៀនវត្ដរុន","29","4","10","203","","1","1","18","48","0","27","341","3","344"
"0085","សាលារៀនតាន","16","4","4","110","","6","2","65","37","5","51","300","8","308"
"0086","សាលារៀនតាន","10","4","5","114","","0","5","48","33","4","12","235","4","239"
"0087","សាលារៀនវត្ដរុន","43","11","14","222","","1","6","49","53","5","26","430","5","435"
"0088","សាលារៀនត្បែងកើត","30","2","18","234","","2","3","23","58","2","31","403","7","410"
"0704","សាលារៀនត្បែងកើត","25","1","13","144","","1","5","16","65","1","16","287","9","296"
"0705","សាលារៀនត្បែងកើត","27","10","19","235","","5","6","29","110","1","28","470","14","484"
"0090","សាលារៀនស្រះខ្វាវ","44","9","14","159","","3","4","92","25","8","56","414","30","444"
"0745","សាលារៀនរហាល","7","1","7","416","","1","2","11","29","4","24","502","6","508"
"0091","វត្ដធ្លកវា","19","3","9","266","","1","4","37","17","2","15","373","9","382"
"0092","សាលារៀនត្បែង","12","2","10","290","","2","2","9","23","1","39","390","4","394"
"0089","សាលារៀនស្គន","17","3","6","163","","4","2","10","50","1","31","287","11","298"
"0706","សាលាដំណាក់សរសេ","25","6","22","51","","0","4","37","41","5","46","237","5","242"
"0093","សាលារៀនល្បើក","23","1","32","165","","5","6","31","175","3","21","462","14","476"
"0826","សាលារៀនល្បើក","9","2","8","37","","1","0","5","46","2","9","119","7","126"
"0094","សាលារៀនល្បើក","12","5","30","311","","5","9","61","143","2","14","592","13","605"
"0095","សាលារៀនល្បើក","13","2","8","235","","2","5","4","48","5","7","329","12","341"
"0096","ភូមិមាត់ខ្លា","13","1","12","156","","2","4","10","133","0","13","344","15","359"
"0097","បឋមសិក្សា ថ្ម អន្លង់សំណរ","11","1","11","238","","1","3","6","63","4","8","346","5","351"
"0648","សាលារៀនអន្លង់សំណរ","15","5","12","326","","1","1","17","167","2","27","573","4","577"
"0098","សាលារៀនរស្ម ីរដ","5","2","5","153","","1","1","2","84","2","3","258","2","260"
"0649","សាលារៀនរស្ម ីរដ","10","3","13","220","","0","1","5","86","0","8","346","6","352"
"0099","សាលារៀនរស្ម ីរដ","27","1","52","267","","2","9","6","163","5","32","564","10","574"
"0827","សាលារៀនរស្ម ីរដ","9","0","8","58","","0","0","2","29","2","6","114","2","116"
"0100","បឋមសិក្សា ល្បើក","4","0","8","173","","0","0","3","24","1","6","219","2","221"
"0650","បឋមសិក្សា ល្បើក","7","0","12","145","","2","5","7","110","2","5","295","2","297"
"0101","សាលាឆទានភូមិកំពង់ស្នោរខាងកើត","13","4","9","341","","1","4","20","55","1","1","449","7","456"
"0102","វត្ដស្លែង","7","2","5","174","","3","4","6","144","2","4","351","1","352"
"0772","វត្ដស្លែង","7","1","7","137","","1","4","1","70","1","0","229","3","232"
"0103","សាលារៀនពោធិរស្ម ីសង្គម","26","1","3","111","","2","2","28","83","1","12","269","4","273"
"0707","សាលារៀនពោធិរស្ម ីសង្គម","8","0","18","109","","1","1","14","113","2","9","275","6","281"
"0104","វត្ដកណ្ដាល","11","0","24","147","","2","2","7","164","2","15","374","4","378"
"0105","សាលារៀនវត្ដកណ្ដាល","14","1","6","203","","1","2","6","110","0","12","355","2","357"
"0106","សាលារៀនវត្ដកណ្ដាល","4","3","24","155","","0","0","0","140","1","4","331","5","336"
"0107","សាលារៀនពោធិរស្ម ីសង្គម","6","1","31","204","","0","4","2","99","0","9","356","2","358"
"0108","សាលារៀនវត្ដជីក្រែង","7","1","12","238","","1","2","3","41","2","10","317","8","325"
"0109","វត្ដស្លែង","30","2","22","211","","3","1","12","177","1","6","465","6","471"
"0110","សាលាសំណាក់ភូមិកំពង់ស្នោរលិច","2","0","1","157","","1","0","0","4","0","1","166","2","168"
"0111","កុដិធំវត្ដកំពង់ក","9","1","4","204","","0","3","17","87","0","14","339","2","341"
"0112","បឋមសិក្សាសាមគ្គី សន្ដិភាព","50","2","12","244","","3","4","13","73","0","19","420","7","427"
"0113","សាលាឆាន់វត្ដកំពង់ក","6","3","1","201","","1","0","3","32","2","24","273","4","277"
"0114","វត្ដកំពង់ក","2","0","8","203","","0","1","17","109","0","17","357","1","358"
"0115","បឋមសិក្សា ហ៊ុន_សែនគំរូ","1","0","4","135","","0","2","5","76","0","6","229","0","229"
"0116","សាលារៀនពោធិសេរ","9","0","12","306","","1","2","4","74","2","8","418","9","427"
"0117","បឋមសិក្សា ហ៊ុន_សែនគំរូ","7","1","11","320","","1","7","14","69","0","13","443","1","444"
"0118","បឋមសិក្សា ហ៊ុន_សែនគំរូ","18","3","4","239","","0","1","91","60","1","15","432","16","448"
"0828","សាលាដំណាក់ភូមិចំបក់ធ","12","0","4","86","","3","1","15","46","0","15","182","1","183"
"0119","សាលារៀនស្លែង","60","2","12","110","","3","1","39","115","1","42","385","10","395"
"0120","បឋមសិក្សា រស្ម ីសាមគ","16","2","3","252","","1","6","13","84","2","15","394","4","398"
"0813","បឋមសិក្សា រស្ម ីសាមគ","7","3","1","120","","1","1","16","50","1","7","207","2","209"
"0121","សាលាឆទានភូមិសាលា","46","4","19","185","","1","3","37","75","3","21","394","5","399"
"0122","វត្ដព្រះធាត","21","4","8","90","","1","0","37","20","8","138","327","6","333"
"0651","កណ្ដាលភូមិស្រោង","107","4","7","172","","1","3","22","80","12","78","486","6","492"
"0123","វត្ដកំបោអ","63","7","19","86","","1","7","18","74","7","18","300","7","307"
"0867","វត្ដកំបោអ","56","4","14","56","","3","2","20","80","13","20","268","25","293"
"0652","សាលារៀនចាស់រវៀង","48","5","17","84","","4","5","30","36","3","40","272","11","283"
"0124","សាលាឆទាន","43","9","36","123","","3","2","30","133","6","53","438","15","453"
"0653","ផ្ទះទុន ទឿម","30","6","35","148","","5","9","28","147","4","39","451","18","469"
"0125","សាលាឆទានភូមិអូរ","31","11","34","191","","7","13","31","103","11","51","483","18","501"
"0126","កណ្ដាលភូមិពោធិរឹង","65","12","13","169","","9","10","111","94","8","31","522","22","544"
"0654","សាលារៀនភូមិគ្រាំង","33","1","27","186","","4","2","29","39","2","34","357","19","376"
"0127","សាលារៀនក្របីរៀល","9","1","6","202","","2","0","9","106","1","32","368","0","368"
"0746","សាលារៀនក្របីរៀល","6","0","4","162","","1","2","8","88","0","19","290","3","293"
"0128","សាលាដំណាក់ភូមិអន្លង់វិល","23","6","8","296","","1","1","14","105","2","33","489","7","496"
"0129","វត្ដធម្ម សុវណ្ណរង្សីសេរីមង្គល","26","2","16","150","","2","1","31","84","4","105","421","5","426"
"0130","សាលាដំណាក់ភូមិថ្នល់តាសិត","24","5","11","272","","1","3","35","43","2","8","404","10","414"
"0655","សាលារៀនភូមិបេង","10","3","3","174","","0","2","19","85","0","3","299","6","305"
"0131","សាលាដំណាក់ភូមិកកោះ","36","2","16","303","","1","1","12","119","0","16","506","7","513"
"0132","សាលាបឋមសិក្សាដូនរាជ្យ","10","0","13","304","","0","2","13","12","2","17","373","15","388"
