"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","វត្ដអណ្ដូងរវៀង","20","5","2","310","1","0","5","138","21","0","3","505","7","512"
"0002","វត្ដស្វាយមួយដើម","14","4","3","243","3","2","2","188","51","1","3","514","4","518"
"0003","សាលារៀនថ្លុកជ្រៅ","15","0","1","193","0","0","2","79","107","1","3","401","2","403"
"0004","វត្ដអពា្ចាញរូង","24","7","2","353","2","3","8","129","29","2","17","576","11","587"
"0005","សាលារៀនអណ្ដូងរវៀង","22","5","1","248","1","1","6","150","32","1","8","475","6","481"
"0006","ផ្ទះបណ្ដែតទឹកកំពង់ព្រះ","9","0","4","248","1","0","3","26","42","1","11","345","7","352"
"0523","ផ្ទះបណ្ដែតទឹកកំពង់ព្រះ","4","1","4","171","2","2","1","21","28","0","15","249","3","252"
"0007","ផ្ទះផែបណ្ដែតទឹកកោះមន្នោរ","19","1","0","177","2","2","1","46","72","1","17","338","3","341"
"0008","សាលារៀនឆ្នុកទ្រូ","16","2","2","169","0","0","0","11","110","1","9","320","8","328"
"0460","សាលារៀនឆ្នុកទ្រូ","22","3","1","167","1","1","2","52","117","1","19","386","8","394"
"0009","សាលាដំណាក់ដង្ខៅម៉េៅ","15","2","2","70","0","0","1","81","62","1","3","237","1","238"
"0407","មន្ទីរពេទ្យភូមិអូររំចេក","59","0","0","136","0","0","0","55","100","0","11","361","12","373"
"0010","វត្ដស្វាយក្អែរ","50","6","3","222","4","1","3","101","88","2","11","491","11","502"
"0461","វត្ដស្វាយក្អែរ","41","1","0","125","3","1","2","47","70","0","10","300","2","302"
"0011","វត្ដល្បើករង្សី","10","2","2","305","1","1","5","82","110","0","2","520","9","529"
"0012","ភូមិដើមជ្រែ","5","3","5","287","2","0","3","65","187","1","6","564","8","572"
"0013","វត្ដថ្នល់អណ្ដែត","3","0","0","142","1","1","0","40","22","0","2","211","5","216"
"0014","សាលារៀនសិរី","14","2","3","248","2","1","3","76","96","2","9","456","15","471"
"0015","សាលារៀនសិរី","19","4","2","238","3","1","1","78","116","1","3","466","1","467"
"0016","វត្ដគ្រួស","6","0","1","152","0","1","0","56","89","2","6","313","4","317"
"0524","វត្ដគ្រួស","8","1","2","125","0","0","0","29","106","1","11","283","0","283"
"0017","វត្ដសម្ដេចមុនី","48","2","2","252","3","1","3","64","122","3","32","532","9","541"
"0018","ភូមិកោះតាម៉ូវ","11","3","1","184","1","1","3","151","68","1","5","429","10","439"
"0019","វត្ដស្ទឹងជ្រៅ","43","4","2","154","1","2","3","203","50","2","35","499","3","502"
"0020","វត្ដមេលំ","8","2","8","432","0","0","4","85","30","0","12","581","5","586"
"0463","វត្ដមេលំ","9","0","3","205","1","0","0","50","20","0","2","290","6","296"
"0021","វត្ដទួលរកា","7","3","6","247","4","1","0","80","133","2","11","494","5","499"
"0022","វត្ដស្រះកែវ","8","0","3","223","1","2","5","106","86","1","28","463","3","466"
"0023","វត្ដផ្សារ","14","1","5","302","0","2","3","115","78","1","19","540","14","554"
"0024","វត្ដព្រះឥន្ទទេព","15","1","3","187","1","0","4","156","74","1","8","450","1","451"
"0440","វត្ដព្រះឥន្ទទេព","7","1","1","101","1","0","0","88","68","0","10","277","4","281"
"0025","សាលារៀនព្រះឥន្ទទេព","4","1","2","148","1","0","0","58","40","1","3","258","13","271"
"0408","សាលារៀនព្រះឥន្ទទេព","12","2","2","234","2","0","5","102","154","0","9","522","4","526"
"0026","សាលារៀនផ្សារ","26","0","3","111","0","1","1","89","41","0","4","276","3","279"
"0529","សាលារៀនផ្សារ","11","0","6","129","2","0","1","63","60","1","10","283","1","284"
"0027","វត្ដភូមិថ្នល់","42","2","0","110","1","0","2","61","79","2","19","318","6","324"
"0409","វត្ដភូមិថ្នល់","20","3","0","121","1","0","2","45","114","1","13","320","1","321"
"0028","វត្ដតាំងត្រពាំង","23","3","4","103","0","0","2","72","65","2","18","292","5","297"
"0410","វត្ដតាំងត្រពាំង","28","2","4","171","0","3","1","77","72","0","12","370","6","376"
"0029","វត្ដតាំងត្រពាំង","24","3","6","195","0","0","6","54","98","3","2","391","8","399"
"0030","សាលារៀនវត្ដជាងហ្លួង","14","2","1","114","1","0","2","63","46","0","3","246","4","250"
"0031","សាលារៀនព្រះជីសុវណ្ណ","20","3","3","58","0","2","2","68","122","2","8","288","12","300"
"0032","សាលារៀនជាងហ្លួង","29","5","5","181","1","1","3","103","111","1","12","452","5","457"
"0441","ផ្ទះនៅ សំ បូរ","15","4","2","42","0","2","1","27","74","0","4","171","3","174"
"0033","សាលារៀនមាសជុំ","29","3","6","201","1","0","1","96","158","1","17","513","9","522"
"0034","សាលារៀនអង្គ","7","1","2","155","1","1","0","46","70","0","1","284","1","285"
"0035","សាលារៀនមាសជុំ","14","1","2","175","1","0","3","31","70","1","4","302","5","307"
"0036","វត្ដពនៃ","21","0","2","201","0","0","3","70","199","2","16","514","10","524"
"0037","វត្ដពនៃ","6","0","1","61","0","0","0","25","108","1","3","205","1","206"
"0038","វត្ដពនៃ","23","2","1","118","0","3","5","46","205","0","7","410","6","416"
"0039","វត្ដពនៃ","13","3","3","137","1","0","1","48","132","1","6","345","6","351"
"0040","វត្ដពនៃ","9","2","2","217","3","0","1","23","155","0","9","421","5","426"
"0041","វត្ដពនៃ","9","0","2","181","2","0","2","33","132","0","12","373","9","382"
"0042","វត្ដពនៃ","10","0","2","232","0","1","3","72","130","0","19","469","16","485"
"0043","វត្ដពនៃ","6","2","7","191","1","1","1","52","152","1","12","426","4","430"
"0044","មត្ដេយ្យក្បាលដំរី","19","3","2","162","2","1","4","128","123","3","9","456","14","470"
